universalmessageid,socialnetwork,senderuserid,senderscreenname,senderlistedname,senderprofileimgurl,senderprofilelink,senderfollowerscount,senderinfluencerscore,senderage,sendergender,originalauthor,originalauthorprofilelink,title,message,messagetype,createdtime,language,languagecode,countrycode,mediatypelist,permalink,domain,retweets,tweetgenerator,favorites,receiverid,receiverscreenname,assignedby,assignedto,spam,status,intellocation,priority,starrating,sentiment,reviewsource,experiencescoremessagelevel,clientqueues,partnerqueues,clientcustomprops,partnercustomprops,customtags,actiontime,geotarget,postid,associatedcases,location,country,state,city,latitude,longitude,senderemail,v55,campaignname,year,TwitterHandle,TwitterHandleCustomerService,Cik,Gvkey
TWITTER_2_1057708635156111362,TWITTER,102486952,WholeFoodsMag,WholeFoods Magazine,https://pbs.twimg.com/profile_images/1461420175283077126/HshjlZO6_normal.jpg,,5005,0,0,F,,,,"We here at WholeFoods Magazine want to wish everyone a happy and #healthy #Halloween. We know today is a day of indulgence for many, but for those of us who must or choose to abstain, today can present challenges. Keep an eye out for more #healthyhalloween posts!",Twitter Update,59:24.6,,,US,,https://twitter.com/WholeFoodsMag/status/1057708635156111362,twitter.com,0,Sprout Social,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,59:24.6,,,,"South Plainfield, New Jersey, United States",United States,,,40.579269,-74.411537,,Twitter Update,,2018,WholeFoods,WholeFoods,865436,24893
TWITTER_2_1057708926408581121,TWITTER,22042454,Kiplinger,Kiplinger,https://pbs.twimg.com/profile_images/3099769770/6d92090fa32700a6aae712d07cf49467_normal.png,,54263,0,0,F,,,,Supermarket Showdown: #Aldi vs. #WholeFoods kiplinger.com/slideshow/spenâ¦,Twitter Update,00:34.0,,,US,LINK,https://twitter.com/Kiplinger/status/1057708926408581121,twitter.com,0,Naytev,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,00:34.0,,,,"Washington, D.C., United States",United States,,,38.917061,-77.000252,,Twitter Update,,2018,WholeFoods,WholeFoods,865436,24893
TWITTER_2_1057709054397702150,TWITTER,9.08E+17,JeffreyTudor,Jeffrey B. Tudor,https://twitter.com/JeffreyTudor/profile_image?size=original,,0,0,27,,,,,Bebe Stores Unveils Role In Brookstone Acquisition ift.tt/2RqXhi7,Twitter Update,01:04.5,,,US,LINK,https://twitter.com/JeffreyTudor/status/1057709054397702150,twitter.com,0,IFTTT,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,01:04.5,,,,"Fort Wayne, Indiana, United States",United States,,,41.1306,-85.12886,,Twitter Update,,2018,Brookstone,,830134,27991
TWITTER_2_1057709556736888832,TWITTER,4019715676,KayakingFacts,Kayaking Facts,https://pbs.twimg.com/profile_images/657309389511118848/aJEBZO6F_normal.jpg,,3699,0,0,,,,,"The world record for the highest waterfall drop in #kayak (189 feet) is held by American extreme kayaker, Tyler Bradt.",Twitter Update,03:04.3,,,US,,https://twitter.com/KayakingFacts/status/1057709556736888832,twitter.com,0,TongueApp,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,03:04.3,,,,"Los Angeles, California, United States",United States,,,34.052231,-118.24368,,Twitter Update,,2018,KAYAK,http://kayak.com/support,1312928,186473
TWITTER_2_1057711676416516096,TWITTER,1.01E+18,tuagyu,Tuagyu Zuobso,https://twitter.com/tuagyu/profile_image?size=original,,0,0,0,,,,,"Shutterfly Coupon 8X8 Photo Book ($29.99 Value) - Expires November 30, 2018: $2.99 End Dateâ¦ goo.gl/fb/bKuqf2",Twitter Update,11:29.6,,,US,LINK,https://twitter.com/tuagyu/status/1057711676416516096,twitter.com,0,Google,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,11:29.6,,,,United States,United States,,,39.759998,-98.5,,Twitter Update,,2018,Shutterfly,,1125920,175376
TWITTER_2_1057712173890265088,TWITTER,217279145,techie_ta,Thuanhausen,https://pbs.twimg.com/profile_images/1263563546056511488/Rn6RnEoQ_normal.jpg,,654,0,0,M,,,,Oh damn...Safeway's corn bread is legit! Bought that with some vegetarian chili ð,Twitter Update,13:28.3,,,US,,https://twitter.com/techie_ta/status/1057712173890265088,twitter.com,0,Flamingo for Android,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,13:28.3,,,,"Puyallup, Washington, United States",United States,,,47.185379,-122.2929,,Twitter Update,,2018,Safeway,,86144,9359
TWITTER_2_1057712566514974721,TWITTER,68559732,MarketBeatCom,MarketBeat,https://pbs.twimg.com/profile_images/1310570343245938689/tj6NI-25_normal.png,,10701,0,0,,,,,"AutoNation $AN Announces Quarterly Earnings Results, Hits Estimates zpr.io/6kMuW",Twitter Update,15:01.9,,,US,LINK,https://twitter.com/ConsumerFeed/status/1057712566514974721,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,POSITIVE,,,,,,,,15:01.9,,,,"Sioux Falls, South Dakota, United States",United States,,,43.549969,-96.700333,,Twitter Update,,2018,AutoNation,AutoNation,350698,9063
TWITTER_2_1057713066568224768,TWITTER,28756492,blakcirclegirl,BlakCircleGirl,https://pbs.twimg.com/profile_images/709771518981464069/kK69pr7Q_normal.jpg,,1640,0,0,F,,,,Punk Rock Stars Pink  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWITTER_2_1057713950475907073,TWITTER,17976918,SouthernSavers,SouthernSavers,https://pbs.twimg.com/profile_images/821086712226975744/89VST72s_normal.jpg,,30122,0,0,F,,,,"HSN Deal: Amazon Fire TV Cube for $49.99 so.svrs.me/1h9b Through today only, get a good deal on the Amazon Fire TV Cube media streamer from HSN! They've got it for $59.99 (regularly $174.95).

Plus, if you're a new customer, you can use code 10NEW at checkout to get ...",Twitter Update,20:31.8,,,US,LINK,https://twitter.com/SouthernSavers/status/1057713950475907073,twitter.com,0,WPtoTwitterSosvrsme,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,20:31.8,,,,"South Carolina, United States",United States,,,34.000431,-81.000092,,Twitter Update,,2018,HSN,HSN,1434729,180402
TWITTER_2_1057716430626545665,TWITTER,538699746,TheCitadelMall,Citadel Mall,https://pbs.twimg.com/profile_images/549668007891324929/4lCRInOj_normal.jpeg,,396,0,0,F,,,,Save on hundreds of new arrivals right now at Gymboree!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWITTER_2_1057716607689129985,TWITTER,242403395,NTISchool,NTI,https://pbs.twimg.com/profile_images/1189976479184097286/4xRMtyXn_normal.jpg,,420,0,0,,,,,Happy Halloween!! ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWITTER_2_1057716630237704193,TWITTER,177647178,couponkarma,CouponKarma,https://pbs.twimg.com/profile_images/1305973447391154180/ytBRT7aW_normal.jpg,,1980,0,0,,,,,Safeway Top Deals of the Week - NorCal - Oct 31 - Nov 6 - wp.me/p56Eop-XS7,Twitter Update,31:10.7,,,US,LINK,https://twitter.com/couponkarmablog/status/1057716630237704193,twitter.com,0,couponkarmaposts,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,31:10.7,,,,"Portland, Maine, United States",United States,,,43.661469,-70.255333,,Twitter Update,,2018,Safeway,,86144,9359
TWITTER_2_1057716888355123200,TWITTER,25303785,DansDeals,DansDeals,https://pbs.twimg.com/profile_images/885639051029512192/OxTqo7Io_normal.jpg,,88153,0,0,M,,,,Fire TV Cube With Alexa And 4K Ultra HD Streaming Media Player For $43.49 Shipped From HSN With MasterPass Checkout dansdeals.com/shopping-dealsâ¦,Twitter Update,32:12.3,,,US,LINK,https://twitter.com/DansDeals/status/1057716888355123200,twitter.com,0,Twitter Web Client,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,32:12.3,,,,"Cleveland, Ohio, United States",United States,,,41.4995,-81.695412,,Twitter Update,,2018,HSN,HSN,1434729,180402
TWITTER_2_1057718499563487233,TWITTER,10041612,FreeStuffFinder,Free Stuff Finder,https://pbs.twimg.com/profile_images/1400625046704381955/4oWphxdu_normal.jpg,,22546,0,0,M,,,,Kids Puffer Coat & Matching Snow Bib Set JUST $24 at Zulily (Reg $100 - Today ONLY!) zpr.io/6kM5C,Twitter Update,38:36.4,,,US,LINK,https://twitter.com/FreeStuffFinder/status/1057718499563487233,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,38:36.4,,,,United States,United States,,,39.759998,-98.5,,Twitter Update,,2018,tandyleather,,909724,28675
TWITTER_2_1057719031657062400,TWITTER,1933040426,tina1211964,Tina Jones,https://pbs.twimg.com/profile_images/901314702113898496/Mx-0ONEj_normal.jpg,,45,0,0,,,,,"Enter QVC & HSN's Black Friday Sweepstakes through 12/3 for a chance to win $50,000 or valuable daily instant prizes from some of your favorite brands! #BlackFriday NPN US/DC (ex.AK/HI/RI) 18+ Enter here+  full rules > shr2me.com/share.aspx?proâ¦",Twitter Update,40:43.3,,,US,LINK,https://twitter.com/tina1211964/status/1057719031657062400,twitter.com,0,Twitter Web Client,0,,,,,FALSE,,,,,POSITIVE,,,,,,,,40:43.3,,,,"Alabama, United States",United States,,,32.750408,-86.750259,,Twitter Update,,2018,HSN,HSN,1434729,180402
TWITTER_2_1057719305301905409,TWITTER,700271766,stephenpollock3,ð DadOfAllTradesð,https://pbs.twimg.com/profile_images/1068932677125005318/GVYcrdBP_normal.jpg,,412,0,37,,,,,#dollartree #HappyHalloween #3pointer #bitcoin #NBA,Twitter Update,41:48.5,,,US,,https://twitter.com/stephenpollock3/status/1057719305301905409,twitter.com,0,Twitter for Android,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,41:48.5,,,,"Florence, Kentucky, United States",United States,,,38.998951,-84.62661,,Twitter Update,,2018,DollarTree,,935703,31587
TWITTER_2_1057720923653070848,TWITTER,7.85E+17,mrmarioallman,Mario L. Allman,https://pbs.twimg.com/profile_images/785381976928768000/0tV9UwI7_normal.jpg,,4,0,39,,,,,bebe stores Acquires Brookstone ift.tt/2qlQBXl,Twitter Update,48:14.4,,,US,LINK,https://twitter.com/mrmarioallman/status/1057720923653070848,twitter.com,0,IFTTT,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,48:14.4,,,,"Austin, Texas, United States",United States,,,30.267151,-97.743057,,Twitter Update,,2018,Brookstone,,830134,27991
TWITTER_2_1057721540475830272,TWITTER,122483659,EricJayDolin,Eric Jay Dolin,https://pbs.twimg.com/profile_images/1182403750566268942/tiIj-lFO_normal.jpg,,578,0,18,M,,,,"Need a holiday gift for the pirate lover in your life. Get BLACK FLAGS, BLUE WATERS at your local bookstore (goo.gl/zAxaJ7), Amazon (goo.gl/SShNyp), Barnes & Noble (goo.gl/oJBTdE), or Booksamillion (goo.gl/TyaHU1). #PiratesOfTheCaribbean https://t.co/AelER2YzP4",Twitter Update,50:41.4,,,US,PHOTO,https://twitter.com/EricJayDolin/status/1057721540475830272,twitter.com,0,Twitter Web Client,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,50:41.4,,,,"Marblehead, Massachusetts, United States",United States,,,42.500099,-70.857826,,Twitter Update,,2018,booksamillion,,891919,25896
TWITTER_2_1057722277310197760,TWITTER,1979190776,TickerReport,Ticker Report,https://pbs.twimg.com/profile_images/378800000629011324/02a58ce4852fa2c0b053a8853393c35c_normal.png,,3959,0,0,,,,,NutriSystem $NTRI Updates Q4 Earnings Guidance tickerreport.com/?p=3897495,Twitter Update,53:37.1,,,US,LINK,https://twitter.com/TickerReport/status/1057722277310197760,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,53:37.1,,,,"Virginia, United States",United States,,,37.548119,-77.446747,,Twitter Update,,2018,Nutrisystem,Nutrisystem,1096376,31227
TWITTER_2_1057722574589882370,TWITTER,1061199468,ambigbuck84,Andy Melton,https://pbs.twimg.com/profile_images/788505813908393985/UVbWYQx-_normal.jpg,,252,0,0,,,,,He came away with the win on this day but we arenât giving up that easy.  Enjoy your days big boy cause we are coming for you !!!! cabelas davidwilliams_tn midwestwhitetailofficialâ¦ instagram.com/p/BpnB-95BMQK/â¦,Twitter Update,54:48.0,,,US,LINK,https://twitter.com/ambigbuck84/status/1057722574589882370,twitter.com,0,Instagram,0,,,,,FALSE,,,,,POSITIVE,,,,,,,,54:48.0,,,,"Cookeville, Tennessee, United States",United States,,,36.162842,-85.50164,,Twitter Update,,2018,Cabelas,,1267130,264708
TWITTER_2_1057722603249565702,TWITTER,700271766,stephenpollock3,ð DadOfAllTradesð,https://pbs.twimg.com/profile_images/1068932677125005318/GVYcrdBP_normal.jpg,,412,0,37,,,,,#fortnite #crafty #DIY #blindbag #dollartree #surprise #Ninja we made little man a fortnite treasurebox full of blind bags pic.twitter.com/LTp4IzwPTS,Twitter Update,54:54.8,,,US,"PHOTO,PHOTO",https://twitter.com/stephenpollock3/status/1057722603249565702,twitter.com,0,Twitter for Android,2,,,,,FALSE,,,,,POSITIVE,,,,,,,,54:54.8,,,,"Florence, Kentucky, United States",United States,,,38.998951,-84.62661,,Twitter Update,,2018,DollarTree,,935703,31587
TWITTER_2_1057725226887376896,TWITTER,428184648,cgeclectics,C&G Eclectics,https://pbs.twimg.com/profile_images/1673220867/cg_normal.jpg,,24544,0,0,,,,,#fabulous Black A-Line Long Sleeved Sweater Dress with Bishop Style Yoke Accented with Burgundy and White Ribbons ebay.com/itm/1927026810â¦ Gymboree Girl's Size 6 #winterready Southern Treasures #fashionwant #eBay #shopping,Twitter Update,05:20.3,,,US,LINK,https://twitter.com/cgeclectics/status/1057725226887376896,twitter.com,0,Hootsuite Inc.,0,,,,,FALSE,,,,,POSITIVE,,,,,,,,05:20.3,,,,"Hinesville, Georgia, United States",United States,,,31.84688,-81.595947,,Twitter Update,,2018,Gymboree,,786110,28018
TWITTER_2_1057725429451292672,TWITTER,8.34E+17,retailjobhiring,RetailJobHiring,https://pbs.twimg.com/profile_images/844590037505363968/zafO37DS_normal.jpg,,1401,0,0,,,,,ifortunefinance #workingcapital #businessloans #badcreditloans â October was busy for the team at #Fundbox. Catch up on the latest announcements and events from the month including money2020 and CBinsights  #Fintech250 right here: fbx.bz/2Q7Kh0Eâ twitter.com/ifortunefinancâ¦,Twitter Update,06:08.6,,,US,"LINK,LINK",https://twitter.com/retailjobhiring/status/1057725429451292672,twitter.com,0,IFTTT,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,06:08.6,,,,"Miami, Florida, United States",United States,,,25.774269,-80.193657,,Twitter Update,,2018,CBinsights,ArdenSoftware,225051,1728
TWITTER_2_1057728649514967046,TWITTER,2617511952,dailymailtimes,Daily Mail Times,https://pbs.twimg.com/profile_images/487615927521792001/_KFrDSuf_normal.jpeg,,1020,0,0,,,,,Mercadolibre $MELI Set to Announce Earnings on Thursday dailypolitical.com/?p=2466136 #investing,Twitter Update,18:56.3,,,US,LINK,https://twitter.com/dailymailtimes/status/1057728649514967046,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,18:56.3,,,,"Florida, United States",United States,,,28.75054,-82.500099,,Twitter Update,,2018,Mercadolibre,ml_ajuda,1099590,178081
TWITTER_2_1057728654179008514,TWITTER,2266388972,midetimes,MidEast Times,https://pbs.twimg.com/profile_images/417030592358662144/QDAne7E5_normal.png,,682,0,0,F,,,,Mercadolibre $MELI Set to Announce Earnings on Thursday dailypolitical.com/?p=2466136 #stocks,Twitter Update,18:57.5,,,US,LINK,https://twitter.com/midetimes/status/1057728654179008514,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,18:57.5,,,,"Florida, United States",United States,,,28.75054,-82.500099,,Twitter Update,,2018,Mercadolibre,ml_ajuda,1099590,178081
TWITTER_2_1057728770046656514,TWITTER,2784649172,clearissacoward,A Cozy Lifestyle With Clearissa Coward,https://pbs.twimg.com/profile_images/994314418392588290/8jxKlzeI_normal.jpg,,645,0,30,F,,,,"Holiday Wreath Using Dollar Tree Items - goo.gl/hbxKKT via @clearisssacoward #budgetdecorating, #c4creations, #christmas, #creative, #dollartree, #dollartreesupplies, #holiday, #wreaths, DIY",Twitter Update,19:25.1,,,US,LINK,https://twitter.com/clearissacoward/status/1057728770046656514,twitter.com,0,Twitter Web Client,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,19:25.1,,,,"North Carolina, United States",United States,,,35.50069,-80.00032,,Twitter Update,,2018,DollarTree,,935703,31587
TWITTER_2_1057728892314796033,TWITTER,10041612,FreeStuffFinder,Free Stuff Finder,https://pbs.twimg.com/profile_images/1400625046704381955/4oWphxdu_normal.jpg,,22547,0,0,M,,,,Brookstone Weighted Blanket JUST $69.99 (Regularly $150) + FREE Shipping zpr.io/6km7b,Twitter Update,19:54.2,,,US,LINK,https://twitter.com/FreeStuffFinder/status/1057728892314796033,twitter.com,0,Zapier.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,19:54.2,,,,United States,United States,,,39.759998,-98.5,,Twitter Update,,2018,Brookstone,,830134,27991
,,,,,,,,,,,,,,"Shutterfly Coupon 8X8 Photo Book ($29.99 Value) - Expires November 30, 2018: $2.99 End Dateâ¦ goo.gl/fb/bKuqf2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWITTER_2_1057730023409569793,TWITTER,179493354,InsprdVisn,Erik,https://pbs.twimg.com/profile_images/1057729247995777025/uO_lLp_D_normal.jpg,,538,0,0,,,,,You can now find our work for commercial use on both Shutterstock and Adobe Photo Stock. Check it out! There is more coming as we get through the approval process. inspiredvisionstudios.myportfolio.com/work,Twitter Update,24:23.9,,,US,LINK,https://twitter.com/InsprdVisn/status/1057730023409569793,twitter.com,0,Twitter Web Client,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,24:23.9,,,,"Atlanta, Georgia, United States",United States,,,33.749001,-84.387978,,Twitter Update,,2018,Shutterstock,,1549346,3382
TWITTER_2_1057730691952271360,TWITTER,8.09E+17,OMGHotDeal,MyHotDeal,https://pbs.twimg.com/profile_images/809084285118332928/6cjkeXOf_normal.jpg,,9,0,0,,,,,":50% Off Vince Camuto Perfume, Free Gifts@Belk 2mydeal.com/content/50-vinâ¦ https://t.co/rwpoFpJaPP",Twitter Update,27:03.3,,,US,PHOTO,https://twitter.com/OMGHotDeal/status/1057730691952271360,twitter.com,0,Twitter Web Client,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,27:03.3,,,,"California, United States",United States,,,37.250221,-119.75126,,Twitter Update,,2018,belk,,1051771,117981
TWITTER_2_1057731703945527299,TWITTER,20445389,Hip2Save,Hip2Save,https://pbs.twimg.com/profile_images/851676600647131136/1yS1_zjF_normal.jpg,,32074,0,0,M,,,,Shutterfly: FREE Personalized Deck of Cards AND Two Placemats (Just PayÂ Shipping) hip2save.com/2018/10/31/shuâ¦ https://t.co/RLZcJtIjJJ,Twitter Update,31:04.6,,,US,PHOTO,https://twitter.com/Hip2Save/status/1057731703945527299,twitter.com,0,WordPress.com,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,31:04.6,,,,"Boise, Idaho, United States",United States,,,43.613499,-116.20345,,Twitter Update,,2018,Shutterfly,,1125920,175376
TWITTER_2_1057732869483888656,TWITTER,112902058,InvestWatchBlog,InvestmentWatch,https://pbs.twimg.com/profile_images/603357884009680896/VguTpI5V_normal.png,,3369,0,0,,,,,âDouble Whammy of Rising Rates for Us and Our Consumersâ: AutoNation ift.tt/2Q9xYRH,Twitter Update,35:42.5,,,US,LINK,https://twitter.com/InvestWatchBlog/status/1057732869483888656,twitter.com,0,IFTTT,0,,,,,FALSE,,,,,NEUTRAL,,,,,,,,35:42.5,,,,United States,United States,,,39.759998,-98.5,,Twitter Update,,2018,AutoNation,AutoNation,350698,9063
,,,,,,,,,,,,,,Supermarket Showdown: #Aldi vs. #WholeFoods kiplinger.com/slideshow/spenâ¦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
